$,_ft,settlementdate,v#
QLD1,Battery Storage,2021-09-22 12:00:00,0
QLD1,Battery Storage,2021-09-22 12:05:00,0
QLD1,Battery Storage,2021-09-22 12:10:00,0
QLD1,Battery Storage,2021-09-22 12:15:00,0
QLD1,Battery Storage,2021-09-22 12:20:00,0
QLD1,Battery Storage,2021-09-22 12:25:00,0
QLD1,Battery Storage,2021-09-22 12:30:00,0
QLD1,Battery Storage,2021-09-22 12:35:00,0
QLD1,Battery Storage,2021-09-22 12:40:00,0
QLD1,Battery Storage,2021-09-22 12:45:00,0
QLD1,Battery Storage,2021-09-22 12:50:00,0
QLD1,Battery Storage,2021-09-22 12:55:00,0
QLD1,Battery Storage,2021-09-22 13:00:00,0
QLD1,Battery Storage,2021-09-22 13:05:00,0
QLD1,Battery Storage,2021-09-22 13:10:00,0
QLD1,Battery Storage,2021-09-22 13:15:00,0
QLD1,Battery Storage,2021-09-22 13:20:00,0
QLD1,Battery Storage,2021-09-22 13:25:00,0
QLD1,Battery Storage,2021-09-22 13:30:00,0
QLD1,Battery Storage,2021-09-22 13:35:00,0
QLD1,Battery Storage,2021-09-22 13:40:00,0
QLD1,Battery Storage,2021-09-22 13:45:00,0
QLD1,Battery Storage,2021-09-22 13:50:00,0
QLD1,Battery Storage,2021-09-22 13:55:00,0
QLD1,Battery Storage,2021-09-22 14:00:00,0
QLD1,Battery Storage,2021-09-22 14:05:00,0
QLD1,Battery Storage,2021-09-22 14:10:00,0
QLD1,Battery Storage,2021-09-22 14:15:00,0
QLD1,Battery Storage,2021-09-22 14:20:00,0
QLD1,Battery Storage,2021-09-22 14:25:00,0
QLD1,Battery Storage,2021-09-22 14:30:00,0
QLD1,Battery Storage,2021-09-22 14:35:00,0
QLD1,Battery Storage,2021-09-22 14:40:00,0
QLD1,Battery Storage,2021-09-22 14:45:00,0
QLD1,Battery Storage,2021-09-22 14:50:00,0
QLD1,Battery Storage,2021-09-22 14:55:00,0
QLD1,Battery Storage,2021-09-22 15:00:00,0
QLD1,Biomass,2021-09-22 12:00:00,34.300001
QLD1,Biomass,2021-09-22 12:05:00,34.300001
QLD1,Biomass,2021-09-22 12:10:00,34.3
QLD1,Biomass,2021-09-22 12:15:00,42.000002
QLD1,Biomass,2021-09-22 12:20:00,40.500001
QLD1,Biomass,2021-09-22 12:25:00,49.800002000000006
QLD1,Biomass,2021-09-22 12:30:00,47.100002
QLD1,Biomass,2021-09-22 12:35:00,41.1
QLD1,Biomass,2021-09-22 12:40:00,46
QLD1,Biomass,2021-09-22 12:45:00,45.1
QLD1,Biomass,2021-09-22 12:50:00,48.6
QLD1,Biomass,2021-09-22 12:55:00,51.000001
QLD1,Biomass,2021-09-22 13:00:00,51.700002
QLD1,Biomass,2021-09-22 13:05:00,54.200001
QLD1,Biomass,2021-09-22 13:10:00,54.700001
QLD1,Biomass,2021-09-22 13:15:00,55.5
QLD1,Biomass,2021-09-22 13:20:00,52.700001
QLD1,Biomass,2021-09-22 13:25:00,55.7
QLD1,Biomass,2021-09-22 13:30:00,51.400001
QLD1,Biomass,2021-09-22 13:35:00,49.999999
QLD1,Biomass,2021-09-22 13:40:00,45.300002000000006
QLD1,Biomass,2021-09-22 13:45:00,46.100002
QLD1,Biomass,2021-09-22 13:50:00,42.700002000000005
QLD1,Biomass,2021-09-22 13:55:00,43.400002
QLD1,Biomass,2021-09-22 14:00:00,39.300002
QLD1,Biomass,2021-09-22 14:05:00,40.899999
QLD1,Biomass,2021-09-22 14:10:00,42.6
QLD1,Biomass,2021-09-22 14:15:00,38.899999
QLD1,Biomass,2021-09-22 14:20:00,37.6
QLD1,Biomass,2021-09-22 14:25:00,34.800001
QLD1,Biomass,2021-09-22 14:30:00,36.1
QLD1,Biomass,2021-09-22 14:35:00,33.200001
QLD1,Biomass,2021-09-22 14:40:00,34.800001
QLD1,Biomass,2021-09-22 14:45:00,40.200002000000005
QLD1,Biomass,2021-09-22 14:50:00,40.000002
QLD1,Biomass,2021-09-22 14:55:00,42.200002000000005
QLD1,Biomass,2021-09-22 15:00:00,40.700002000000005
QLD1,Black Coal,2021-09-22 12:00:00,4118.60487
QLD1,Black Coal,2021-09-22 12:05:00,4146.800450000001
QLD1,Black Coal,2021-09-22 12:10:00,4202.67534
QLD1,Black Coal,2021-09-22 12:15:00,4150.359209999999
QLD1,Black Coal,2021-09-22 12:20:00,4114.43646
