$,settlementdate,Price$,Demand#,Import,Export,Generation_
QLD1,2021-09-22 12:00:00,24,3885.56,0,1001.5,5125.05
QLD1,2021-09-22 12:05:00,30.84,3850.99,0,1072.28,5161.27
QLD1,2021-09-22 12:10:00,30.84,3873.18,0,1053.53,5164.7
QLD1,2021-09-22 12:15:00,14.1,3847.95,0,971.05,5057
QLD1,2021-09-22 12:20:00,19.25945,3876.29,0,972.05,5086.33
QLD1,2021-09-22 12:25:00,20.02183,3852.58,0,988,5078.58
QLD1,2021-09-22 12:30:00,11.84,3826.39,0,938.27,5002.67
QLD1,2021-09-22 12:35:00,11.84,3841.26,0,937.31,5016.57
QLD1,2021-09-22 12:40:00,10.19736,3848.69,0,883.38,4970.07
QLD1,2021-09-22 12:45:00,11.84,3927.09,0,822.86,4987.95
QLD1,2021-09-22 12:50:00,7.79936,3902,0,783.14,4923.14
QLD1,2021-09-22 12:55:00,7.85662,3943.97,0,753.4,4935.37
QLD1,2021-09-22 13:00:00,2.98,3884.61,0,825.96,4948.56
QLD1,2021-09-22 13:05:00,0.01758,3965.91,0,741.36,4944.27
QLD1,2021-09-22 13:10:00,0,3970.44,0,768.34,4975.77
QLD1,2021-09-22 13:15:00,0,3977.6,0,692.82,4907.42
QLD1,2021-09-22 13:20:00,0.00006,3984.09,0,740.12,4961.2
QLD1,2021-09-22 13:25:00,0,3991.17,0,674.07,4902.24
QLD1,2021-09-22 13:30:00,0.00006,4094.05,0,678.58,5009.63
QLD1,2021-09-22 13:35:00,0.00005,4099.38,0,640.16,4976.54
QLD1,2021-09-22 13:40:00,0.01839,4099.5,0,647.74,4984.24
QLD1,2021-09-22 13:45:00,8.30721,4186.34,0,602.7,5026.04
QLD1,2021-09-22 13:50:00,8.49522,4217.8,0,543.99,4998.79
QLD1,2021-09-22 13:55:00,11.84,4261.21,0,508.02,5006.23
QLD1,2021-09-22 14:00:00,8.91949,4254.78,0,518,5009.78
QLD1,2021-09-22 14:05:00,9.02786,4334.01,0,555.73,5126.74
QLD1,2021-09-22 14:10:00,9.0666,4346.03,0,597.6,5180.63
QLD1,2021-09-22 14:15:00,0.01945,4374.51,0,606.46,5217.97
QLD1,2021-09-22 14:20:00,9.02663,4422.84,0,613.91,5273.75
QLD1,2021-09-22 14:25:00,19.05,4519.79,0,537.38,5294.17
QLD1,2021-09-22 14:30:00,9.22852,4555.52,0,467.89,5260.41
QLD1,2021-09-22 14:35:00,11.84,4559.86,0,517.41,5313.27
QLD1,2021-09-22 14:40:00,9.38873,4581.46,0,480.93,5298.39
QLD1,2021-09-22 14:45:00,9.60318,4634.04,0,405.33,5275.37
QLD1,2021-09-22 14:50:00,19.30423,4656.77,0,471.39,5364.16
QLD1,2021-09-22 14:55:00,26.99,4758.71,0,434.75,5429.46
QLD1,2021-09-22 15:00:00,33.10003,4900.97,0,371.31,5508.28
NSW1,2021-09-22 12:00:00,28.77305,5768.49,-697.02,0,5191.47
NSW1,2021-09-22 12:05:00,37.23377,5764.81,-699.12,0,5185.68
NSW1,2021-09-22 12:10:00,37.22057,5813.06,-728.41,0,5204.65
NSW1,2021-09-22 12:15:00,16.80065,5714.65,-658.86,0,5175.79
NSW1,2021-09-22 12:20:00,22.93831,5753.51,-755.18,0,5118.33
NSW1,2021-09-22 12:25:00,23.85862,5785.4,-790.49,0,5114.91
NSW1,2021-09-22 12:30:00,14.02314,5785.83,-814.87,0,5090.96
NSW1,2021-09-22 12:35:00,14.02083,5747.13,-825.76,0,5041.38
NSW1,2021-09-22 12:40:00,11.99437,5729.01,-825.66,0,5023.35
NSW1,2021-09-22 12:45:00,13.72943,5685.37,-804.59,0,5000.78
NSW1,2021-09-22 12:50:00,8.98944,5661.77,-734.7,0,5047.07
NSW1,2021-09-22 12:55:00,8.99069,5667.02,-748.7,0,5038.32
NSW1,2021-09-22 13:00:00,3.45829,5722.79,-782.23,0,5060.55
NSW1,2021-09-22 13:05:00,0.0201,5703.97,-714.76,0,5109.21
NSW1,2021-09-22 13:10:00,0,5764.28,-802.54,0,5081.74
NSW1,2021-09-22 13:15:00,0,5764.82,-728.04,0,5156.79
NSW1,2021-09-22 13:20:00,0.00006,5765.09,-723.67,0,5161.42
NSW1,2021-09-22 13:25:00,0,5794.75,-756.61,0,5158.14
NSW1,2021-09-22 13:30:00,0.00006,5783.51,-756.58,0,5146.93
NSW1,2021-09-22 13:35:00,0.00005,5776.5,-756.05,0,5140.45
NSW1,2021-09-22 13:40:00,0.02071,5778.46,-754.88,0,5143.59
NSW1,2021-09-22 13:45:00,9.28056,5777.45,-756.19,0,5141.26
NSW1,2021-09-22 13:50:00,9.36139,5744.63,-714.23,0,5150.4
NSW1,2021-09-22 13:55:00,12.9559,5760.81,-786.89,0,5093.92
NSW1,2021-09-22 14:00:00,9.76137,5818.12,-806.96,0,5131.17
NSW1,2021-09-22 14:05:00,9.9318,5826.88,-899.73,0,5047.15
NSW1,2021-09-22 14:10:00,10.03878,5904.2,-990.92,0,5033.28
NSW1,2021-09-22 14:15:00,0.02168,5869.22,-950.74,0,5038.48
NSW1,2021-09-22 14:20:00,10.04985,5861.01,-1027.4,0,4953.61
NSW1,2021-09-22 14:25:00,20.89848,5962.05,-1028.7,0,5053.35
NSW1,2021-09-22 14:30:00,9.98705,5906.81,-975.95,0,5050.85
NSW1,2021-09-22 14:35:00,12.89379,5961.75,-1076.22,0,4946.97
NSW1,2021-09-22 14:40:00,10.15097,5972.53,-964.16,0,5008.38
NSW1,2021-09-22 14:45:00,10.2405,5983.73,-932.17,0,5051.56
NSW1,2021-09-22 14:50:00,20.85006,6084.5,-1054.76,0,5029.74
NSW1,2021-09-22 14:55:00,28.91413,6086.45,-1022.9,0,5063.55
NSW1,2021-09-22 15:00:00,35.14955,6146.28,-962.96,0,5183.32
VIC1,2021-09-22 12:00:00,29.92897,4817.55,-338.57,0,4488.99
VIC1,2021-09-22 12:05:00,39.06466,4803.4,-381.76,0,4431.64
VIC1,2021-09-22 12:10:00,38.7065,4817.15,-393.96,0,4433.19
VIC1,2021-09-22 12:15:00,17.47509,4744.52,-364.06,0,4390.46
VIC1,2021-09-22 12:20:00,23.43255,4746.06,-295.48,0,4460.58
VIC1,2021-09-22 12:25:00,24.4212,4720.31,-243.69,0,4486.56
VIC1,2021-09-22 12:30:00,14.20188,4682.35,-220.43,0,4471.86
VIC1,2021-09-22 12:35:00,14.07146,4660.04,-193.88,0,4476.16
VIC1,2021-09-22 12:40:00,11.94276,4585.77,-140.76,0,4455.01
VIC1,2021-09-22 12:45:00,13.68724,4591.29,-131.84,0,4469.38
VIC1,2021-09-22 12:50:00,8.95009,4533.29,-136.66,0,4406.63
VIC1,2021-09-22 12:55:00,8.94002,4504.6,-133.07,0,4381.52
VIC1,2021-09-22 13:00:00,3.4343,4465.34,-131.94,0,4343.4
VIC1,2021-09-22 13:05:00,0.01998,4445.31,-115.77,0,4339.48
VIC1,2021-09-22 13:10:00,0,4431.12,-140.91,0,4300.21
VIC1,2021-09-22 13:15:00,0,4393.23,-82.42,0,4320.81
VIC1,2021-09-22 13:20:00,0.00006,4367.43,-137.25,0,4240.17
VIC1,2021-09-22 13:25:00,0,4352.72,-104.99,0,4257.73
VIC1,2021-09-22 13:30:00,0.00006,4335.32,-104.18,0,4241.15
VIC1,2021-09-22 13:35:00,0.00005,4284.98,-75.88,0,4219.1
VIC1,2021-09-22 13:40:00,0.02,4276.39,-72.51,0,4213.88
VIC1,2021-09-22 13:45:00,8.94993,4238.69,-27.86,0,4220.78
VIC1,2021-09-22 13:50:00,8.94997,4222.01,-26.8,0,4205.16
VIC1,2021-09-22 13:55:00,12.17196,4195.72,0,115.25,4320.97
VIC1,2021-09-22 14:00:00,9.18,4191.66,0,131.28,4332.94
VIC1,2021-09-22 14:05:00,9.18,4182.73,0,150.84,4343.56
VIC1,2021-09-22 14:10:00,9.1801,4158,0,206.37,4374.36
VIC1,2021-09-22 14:15:00,0.02,4137.38,0,130.06,4277.39
VIC1,2021-09-22 14:20:00,9.18,4114.04,0,203.25,4327.29
VIC1,2021-09-22 14:25:00,18.7365,4102.73,0,267.64,4380.37
VIC1,2021-09-22 14:30:00,8.95009,4067.35,0,205.78,4283.06
VIC1,2021-09-22 14:35:00,9.18,4080.63,0,318.51,4409.15
VIC1,2021-09-22 14:40:00,9.18,4102.5,0,259.05,4371.56
VIC1,2021-09-22 14:45:00,9.18,4091.07,0,309.9,4410.89
VIC1,2021-09-22 14:50:00,13.94,4083.86,0,378.68,4472.54
VIC1,2021-09-22 14:55:00,24.95009,4118.17,0,378.8,4506.97
VIC1,2021-09-22 15:00:00,11.24815,4090.1,0,401.48,4501.58
SA1,2021-09-22 12:00:00,32.46961,997.29,-309.29,0,734.99
SA1,2021-09-22 12:05:00,42.44101,993.76,-319.08,0,751.68
SA1,2021-09-22 12:10:00,41.53605,971.46,-268.47,0,741.98
SA1,2021-09-22 12:15:00,18.86005,975.29,-296.68,0,748.61
SA1,2021-09-22 12:20:00,25.16123,947.27,-275.08,0,766.19
SA1,2021-09-22 12:25:00,26.48983,971.46,-302.73,0,742.74
SA1,2021-09-22 12:30:00,15.24008,951.89,-263.58,0,758.31
SA1,2021-09-22 12:35:00,15.11,950.65,-277.59,0,760.05
SA1,2021-09-22 12:40:00,12.82285,957.69,-284.79,0,771.9
SA1,2021-09-22 12:45:00,14.68781,965.67,-265.12,0,768.55
SA1,2021-09-22 12:50:00,9.65994,972.08,-293.47,0,764.61
SA1,2021-09-22 12:55:00,9.55019,946.65,-259.84,0,751.81
SA1,2021-09-22 13:00:00,3.70752,950.91,-287.77,0,748.15
SA1,2021-09-22 13:05:00,0.02157,952.98,-298.15,0,758.83
SA1,2021-09-22 13:10:00,0,941.2,-202.41,0,763.79
SA1,2021-09-22 13:15:00,0,937.02,-241.36,0,760.66
SA1,2021-09-22 13:20:00,0.00007,934.16,-261.3,0,764.86
SA1,2021-09-22 13:25:00,0,936.47,-211.94,0,793.53
SA1,2021-09-22 13:30:00,0.00007,942.6,-217.68,0,780.92
SA1,2021-09-22 13:35:00,0.00005,939.92,-211.97,0,766.95
SA1,2021-09-22 13:40:00,0.02115,964.64,-222.84,0,773.8
SA1,2021-09-22 13:45:00,9.46486,955.54,-224.87,0,766.67
SA1,2021-09-22 13:50:00,9.46508,948.47,-215.27,0,766.2
SA1,2021-09-22 13:55:00,12.93969,970.66,-244.67,0,755.99
SA1,2021-09-22 14:00:00,9.80863,989.83,-249.07,0,773.76
SA1,2021-09-22 14:05:00,9.65543,991.92,-209.15,0,792.76
SA1,2021-09-22 14:10:00,9.65709,968.73,-206.22,0,797.51
SA1,2021-09-22 14:15:00,0.02093,951.67,-183.5,0,802.17
SA1,2021-09-22 14:20:00,9.60743,949.72,-180.52,0,798.2
SA1,2021-09-22 14:25:00,19.5074,927.35,-167.85,0,794.5
SA1,2021-09-22 14:30:00,9.12416,908.66,-93.07,0,815.6
SA1,2021-09-22 14:35:00,9.48935,929.91,-141.93,0,787.99
SA1,2021-09-22 14:40:00,9.55876,944.37,-171.06,0,788.31
SA1,2021-09-22 14:45:00,9.60879,943.79,-179.21,0,775.58
SA1,2021-09-22 14:50:00,14.59181,948.24,-181.38,0,766.86
SA1,2021-09-22 14:55:00,26.1162,944.68,-179.62,0,765.06
SA1,2021-09-22 15:00:00,11.83528,964.38,-202.89,0,761.49
TAS1,2021-09-22 12:00:00,-0.76,1013.59,0,479.1,1492.69
TAS1,2021-09-22 12:05:00,-0.76,1016.35,0,479.1,1495.45
TAS1,2021-09-22 12:10:00,-0.76,1017.93,0,479.1,1497.03
TAS1,2021-09-22 12:15:00,-0.76,1015.46,0,479.1,1494.55
TAS1,2021-09-22 12:20:00,-0.76,1009.82,0,479.1,1488.92
TAS1,2021-09-22 12:25:00,-0.76,1001.65,0,479.1,1480.75
TAS1,2021-09-22 12:30:00,-0.76,1014.19,0,479.1,1493.29
TAS1,2021-09-22 12:35:00,-0.76,1018.51,0,479.1,1497.61
TAS1,2021-09-22 12:40:00,-0.76,1007.03,0,479.1,1486.12
TAS1,2021-09-22 12:45:00,-0.78,1002.18,0,479.1,1481.28
TAS1,2021-09-22 12:50:00,-0.76,1003.13,0,479.1,1482.22
TAS1,2021-09-22 12:55:00,-0.76,1008.68,0,479.1,1487.78
TAS1,2021-09-22 13:00:00,-0.76,1014.09,0,479.1,1493.19
TAS1,2021-09-22 13:05:00,-0.78,1011.73,0,479.1,1490.83
TAS1,2021-09-22 13:10:00,-0.78,1006.95,0,479.1,1486.05
TAS1,2021-09-22 13:15:00,-0.76,1022.91,0,479.1,1502.01
TAS1,2021-09-22 13:20:00,-0.78,1025.56,0,479.1,1504.66
TAS1,2021-09-22 13:25:00,-0.78,1024.92,0,479.1,1504.01
TAS1,2021-09-22 13:30:00,-0.78,1024.02,0,479.1,1503.12
TAS1,2021-09-22 13:35:00,-0.78,1008.62,0,479.1,1487.71
TAS1,2021-09-22 13:40:00,-0.78,1018.37,0,479.1,1497.47
TAS1,2021-09-22 13:45:00,-0.78,1020.02,0,479.1,1499.12
TAS1,2021-09-22 13:50:00,-0.79,1010.83,0,479.1,1489.93
TAS1,2021-09-22 13:55:00,-0.79,996.13,0,479.1,1475.24
TAS1,2021-09-22 14:00:00,-0.79,1010.48,0,479.1,1489.58
TAS1,2021-09-22 14:05:00,-0.79,1025.37,0,479.1,1504.47
TAS1,2021-09-22 14:10:00,-0.79,1020.85,0,479.1,1499.95
TAS1,2021-09-22 14:15:00,-0.79,1012.98,0,479.1,1492.07
TAS1,2021-09-22 14:20:00,-0.79,1026.3,0,479.1,1505.4
TAS1,2021-09-22 14:25:00,-0.78,1028.14,0,479.1,1507.24
TAS1,2021-09-22 14:30:00,-0.79,1027.35,0,475.82,1503.17
TAS1,2021-09-22 14:35:00,-0.78,1030.56,0,475.82,1506.38
TAS1,2021-09-22 14:40:00,-0.76,1050.63,0,475.82,1526.45
TAS1,2021-09-22 14:45:00,-0.78,1051.99,0,475.82,1527.81
TAS1,2021-09-22 14:50:00,-0.76,1057.35,0,479.1,1536.45
